transaction_id,order_id,customer_id,transaction_date,transaction_time,amount,currency,payment_method,payment_status,card_type,card_last4,billing_country,tax_amount,discount_amount,shipping_cost,total_amount
T10001,10001,1001,2024-01-15,14:23:45,1299.99,USD,Credit Card,Completed,Visa,4532,USA,104.00,0.00,15.00,1418.99
T10002,10002,1002,2024-01-16,09:15:22,59.98,EUR,PayPal,Completed,N/A,N/A,Spain,12.00,5.00,8.50,75.48
T10003,10003,1003,2024-01-17,16:45:33,349.99,CNY,Credit Card,Completed,Mastercard,5412,China,52.50,0.00,20.00,422.49
T10004,10004,1001,2024-01-18,11:30:18,59.97,USD,Credit Card,Completed,Visa,4532,USA,4.80,0.00,5.00,69.77
T10005,10005,1004,2024-01-19,13:22:56,79.99,GBP,Debit Card,Completed,Visa,4111,UK,16.00,0.00,7.50,103.49
T10006,10006,1005,2024-01-20,10:45:12,1299.99,EGP,Credit Card,Pending,Mastercard,5123,Egypt,195.00,0.00,25.00,1519.99
T10007,10007,1006,2024-01-21,15:18:44,149.99,EUR,Credit Card,Completed,Visa,4789,France,30.00,10.00,8.00,177.99
T10008,10008,1007,2024-01-22,12:33:27,799.98,BRL,PayPal,Completed,N/A,N/A,Brazil,144.00,0.00,30.00,973.98
T10009,10009,1008,2024-01-23,14:56:39,89.99,JPY,Credit Card,Completed,JCB,3566,Japan,9.00,0.00,10.00,108.99
T10010,10010,1009,2024-01-24,09:22:15,199.99,PLN,Debit Card,Completed,Mastercard,5234,Poland,46.00,0.00,12.00,257.99
T10011,10011,1010,2024-01-25,16:44:51,599.99,AUD,Credit Card,Completed,Visa,4321,Australia,60.00,0.00,25.00,684.99
T10012,10012,1011,2024-01-26,11:15:33,2599.98,AED,Credit Card,Completed,Amex,3782,UAE,390.00,100.00,0.00,2889.98
T10013,10013,1012,2024-01-27,13:28:47,449.99,EUR,PayPal,Completed,N/A,N/A,Germany,85.50,0.00,12.00,547.49
T10014,10014,1013,2024-01-28,10:52:19,29.99,INR,Debit Card,Completed,Rupay,6521,India,5.40,0.00,8.00,43.39
T10015,10015,1014,2024-01-29,15:37:22,299.99,EUR,Credit Card,Completed,Mastercard,5567,Italy,60.00,0.00,10.00,369.99
