order_id,customer_id,order_date,product_id,product_name,category,quantity,unit_price,total_amount,status,payment_method,shipping_country
10001,1001,2024-01-15,P001,Laptop Pro 15,Electronics,1,1299.99,1299.99,Delivered,Credit Card,USA
10002,1002,2024-01-16,P002,Wireless Mouse,Electronics,2,29.99,59.98,Delivered,PayPal,Spain
10003,1003,2024-01-17,P003,Office Chair,Furniture,1,349.99,349.99,Delivered,Credit Card,China
10004,1001,2024-01-18,P004,USB-C Cable,Electronics,3,19.99,59.97,Delivered,Credit Card,USA
10005,1004,2024-01-19,P005,Desk Lamp,Furniture,1,79.99,79.99,Delivered,Debit Card,UK
10006,1005,2024-01-20,P001,Laptop Pro 15,Electronics,1,1299.99,1299.99,Shipped,Credit Card,Egypt
10007,1006,2024-01-21,P006,Keyboard Mechanical,Electronics,1,149.99,149.99,Delivered,Credit Card,France
10008,1007,2024-01-22,P007,Monitor 27inch,Electronics,2,399.99,799.98,Delivered,PayPal,Brazil
10009,1008,2024-01-23,P008,Webcam HD,Electronics,1,89.99,89.99,Delivered,Credit Card,Japan
10010,1009,2024-01-24,P009,Headphones Wireless,Electronics,1,199.99,199.99,Delivered,Debit Card,Poland
10011,1010,2024-01-25,P010,Standing Desk,Furniture,1,599.99,599.99,Delivered,Credit Card,Australia
10012,1011,2024-01-26,P001,Laptop Pro 15,Electronics,2,1299.99,2599.98,Delivered,Credit Card,UAE
10013,1012,2024-01-27,P011,Tablet 10inch,Electronics,1,449.99,449.99,Delivered,PayPal,Germany
10014,1013,2024-01-28,P002,Wireless Mouse,Electronics,1,29.99,29.99,Delivered,Debit Card,India
10015,1014,2024-01-29,P012,Printer Laser,Electronics,1,299.99,299.99,Delivered,Credit Card,Italy
10016,1015,2024-01-30,P013,External SSD 1TB,Electronics,2,129.99,259.98,Delivered,Credit Card,Russia
10017,1016,2024-02-01,P014,Docking Station,Electronics,1,179.99,179.99,Delivered,PayPal,Canada
10018,1017,2024-02-02,P015,Ergonomic Mouse,Electronics,1,59.99,59.99,Delivered,Credit Card,Singapore
10019,1018,2024-02-03,P003,Office Chair,Furniture,1,349.99,349.99,Delivered,Debit Card,Denmark
10020,1019,2024-02-04,P016,Laptop Stand,Electronics,1,49.99,49.99,Delivered,Credit Card,Portugal
10021,1020,2024-02-05,P001,Laptop Pro 15,Electronics,1,1299.99,1299.99,Delivered,Credit Card,South Korea
10022,1021,2024-02-06,P017,USB Hub 7-Port,Electronics,2,39.99,79.98,Delivered,PayPal,Ireland
10023,1022,2024-02-07,P007,Monitor 27inch,Electronics,3,399.99,1199.97,Delivered,Credit Card,Saudi Arabia
10024,1023,2024-02-08,P018,Desk Organizer,Furniture,1,24.99,24.99,Delivered,Debit Card,Ukraine
10025,1024,2024-02-09,P019,Cable Management,Electronics,1,19.99,19.99,Delivered,Credit Card,Sweden
10026,1025,2024-02-10,P020,Monitor Arm,Furniture,1,129.99,129.99,Delivered,PayPal,Mexico
10027,1026,2024-02-11,P006,Keyboard Mechanical,Electronics,1,149.99,149.99,Delivered,Credit Card,India
10028,1027,2024-02-12,P021,Laptop Bag,Accessories,1,79.99,79.99,Delivered,Debit Card,Romania
10029,1028,2024-02-13,P022,Power Bank 20000mAh,Electronics,2,49.99,99.98,Delivered,Credit Card,USA
10030,1029,2024-02-14,P023,Phone Stand,Accessories,1,14.99,14.99,Shipped,PayPal,Nigeria
10031,1030,2024-02-15,P024,Wireless Charger,Electronics,1,39.99,39.99,Delivered,Credit Card,France
10032,1001,2024-02-16,P025,Bluetooth Speaker,Electronics,1,89.99,89.99,Delivered,Credit Card,USA
10033,1003,2024-02-17,P026,Smart Watch,Electronics,1,299.99,299.99,Delivered,Credit Card,China
10034,1006,2024-02-18,P027,Fitness Tracker,Electronics,1,129.99,129.99,Delivered,PayPal,France
10035,1008,2024-02-19,P028,Noise Cancelling Headphones,Electronics,1,349.99,349.99,Delivered,Credit Card,Japan
10036,1011,2024-02-20,P029,Gaming Mouse,Electronics,1,79.99,79.99,Delivered,Credit Card,UAE
10037,1014,2024-02-21,P030,Mechanical Keyboard RGB,Electronics,1,189.99,189.99,Delivered,PayPal,Italy
10038,1017,2024-02-22,P031,Webcam 4K,Electronics,1,149.99,149.99,Delivered,Credit Card,Singapore
10039,1020,2024-02-23,P032,Microphone USB,Electronics,1,99.99,99.99,Delivered,Credit Card,South Korea
10040,1022,2024-02-24,P033,Ring Light,Electronics,1,59.99,59.99,Delivered,PayPal,Saudi Arabia
10041,1024,2024-02-25,P034,Green Screen,Electronics,1,79.99,79.99,Delivered,Credit Card,Sweden
10042,1028,2024-02-26,P035,Capture Card,Electronics,1,199.99,199.99,Delivered,Credit Card,USA
10043,1002,2024-02-27,P036,Drawing Tablet,Electronics,1,249.99,249.99,Delivered,PayPal,Spain
10044,1004,2024-02-28,P037,3D Printer,Electronics,1,499.99,499.99,Processing,Credit Card,UK
10045,1007,2024-02-29,P038,Filament PLA,Supplies,3,29.99,89.97,Shipped,PayPal,Brazil
10046,1010,2024-03-01,P039,Soldering Station,Electronics,1,89.99,89.99,Delivered,Credit Card,Australia
10047,1012,2024-03-02,P040,Multimeter Digital,Electronics,1,49.99,49.99,Delivered,PayPal,Germany
10048,1015,2024-03-03,P041,Oscilloscope,Electronics,1,299.99,299.99,Delivered,Credit Card,Russia
10049,1016,2024-03-04,P042,Power Supply,Electronics,1,79.99,79.99,Delivered,PayPal,Canada
10050,1019,2024-03-05,P043,Component Kit,Electronics,1,39.99,39.99,Delivered,Credit Card,Portugal
